grid;nDrones;base:method;tours
4x3;2;0;1;[[0,11,10,9,6,3,0],[0,4,8,7,5,2,1,0]]
4x3;2;4;1;[[4,5,8,11,10,9,6,4],[0,3,7,4,2,1,0]]
4x3;2;5;1;[[5,7,6,9,10,11,5],[0,3,4,8,5,2,1,0]]
4x3;2;6;1;[[6,9,10,11,8,7,6],[0,3,6,4,5,2,1,0]]
4x3;2;0;1;[[0,1,3,6,9,7,4,0],[2,5,8,11,10,9,2]]
3x4;2;0;1;[[0,11,7,3,2,1,0],[0,4,5,6,10,9,8,0]]
3x4;2;4;1;[[4,6,7,11,10,9,8,4],[0,2,3,1,5,4,0]]
3x4;2;3;1;[[3,7,11,10,8,3],[0,4,8,9,5,6,2,1,0]]
2x7;2;0;1;[[0,7,6,5,3,2,1,0],[0,4,13,12,11,10,9,8,0]]
2x7;2;4;1;[[4,5,6,13,12,11,10,9,4],[0,1,2,4,3,8,7,0]]
2x7;2;5;1;[[5,6,13,12,8,5],[0,1,2,3,4,11,10,9,8,7,0]]
3x5;2;0;1;[[0,6,7,8,4,9,3,2,1,0],[0,5,10,11,12,13,14,0]]
3x5;2;0;1;[[0,1,2,8,3,7,6,10,5,0],[4,9,14,13,12,11,10,4]]
3x5;2;1;1;[[1,2,3,4,9,14,8,6,1],[0,5,10,11,12,13,14,7,0]]
3x5;2;0;1;[[0,5,10,11,6,7,2,1,0],[2,3,4,9,14,13,12,8,2]]
3x5;2;3;1;[[3,8,9,14,13,12,7,4,3],[0,1,2,3,6,11,10,5,0]]
3x5;2;0;1;[[0,1,2,3,4,10,5,0],[4,14,13,12,11,6,7,8,9,4]]
3x5;2;0;1;[[0,5,10,11,12,8,7,6,0],[1,2,3,4,9,14,13,6,1]]
4x4;2;0;1;[[0,6,9,14,13,12,8,4,0],[0,5,10,15,11,7,3,2,1,0]]
4x4;2;2;1;[[2,3,7,14,15,11,10,6,2],[0,1,2,5,9,13,12,8,4,0]]
4x4;2;0;1;[[0,4,8,5,10,7,3,2,1,0],[3,6,9,12,13,14,15,11,3]]
4x4;2;0;1;[[0,4,8,12,13,9,6,5,1,0],[2,3,6,7,11,15,14,10,2]]
4x4;2;7;1;[[7,11,15,14,13,12,8,9,10,7],[0,4,5,6,7,3,2,1,0]]
2x8;2;0;1;[[0,8,10,11,12,13,15,0],[0,1,2,3,4,5,6,7,14,9,0]]
2x8;2;7;1;[[7,15,14,13,12,11,10,9,8,7],[0,1,2,3,4,5,15,6,0]]
2x8;2;0;1;[[0,8,9,6,2,1,0],[3,12,13,14,15,7,6,5,4,10,11,3]]
2x8;2;2;1;[[2,9,10,14,15,7,6,13,12,11,3,2],[0,8,7,5,4,1,0]]
4x5;2;0;1;[[0,6,7,13,19,18,17,16,15,10,0],[0,5,11,12,8,14,9,4,3,2,1,0]]
4x5;2;13;1;[[13,12,11,10,15,16,17,18,19,14,8,13],[13,9,4,3,2,1,0,5,6,7,13]]
4x5;2;16;1;[[16,15,10,5,0,1,2,7,6,11,12,16],[16,17,13,8,3,4,9,14,19,18,16]]
4x5;2;19;1;[[19,13,7,1,0,5,10,15,16,17,18,19],[19,9,4,3,2,6,11,12,8,14,19]]
4x5;2;2;1;[[2,1,6,0,5,10,15,16,11,12,7,2],[2,3,4,9,14,19,18,17,13,8,2]]
4x5;2;3;1;[[3,4,8,13,12,17,18,19,14,9,3],[3,7,6,11,16,15,10,5,0,1,2,3]]
4x5;2;5;1;[[5,11,12,13,14,9,4,3,2,1,0,5],[5,6,7,8,19,18,17,16,15,10,5]]
4x5;2;7;1;[[7,6,11,16,15,10,5,0,1,2,7],[7,8,3,4,9,14,19,18,17,13,12,7]]
4x5;3;0;1;[[0,6,12,8,9,4,3,2,1,0],[0,13,19,14,7,0],[0,5,10,15,16,17,18,11,0]]
4x5;3;12;1;[[12,13,18,17,16,15,10,11,12],[12,6,5,0,1,2,7,12],[12,8,3,4,9,14,19,12]]
4x5;3;13;1;[[13,17,16,10,15,11,12,13],[13,7,6,5,0,1,2,13],[13,8,3,4,9,14,19,18,13]]
4x5;3;16;1;[[16,15,10,5,0,1,2,6,11,16],[16,18,19,14,8,12,17,16],[16,13,9,4,3,7,16]]
4x5;3;19;1;[[19,14,9,4,8,7,2,3,19],[19,18,17,16,15,10,5,11,19],[19,1,0,6,12,13,19]]
4x5;3;2;1;[[2,1,0,5,10,15,6,2],[2,7,11,16,17,18,12,2],[2,3,4,9,14,19,13,8,2]]
4x5;3;3;1;[[3,4,9,14,19,18,13,12,3],[3,11,15,16,17,3],[3,8,7,6,10,5,0,1,2,3]]
4x5;3;5;1;[[5,10,15,16,17,12,11,0,5],[5,13,14,19,18,5],[5,1,2,3,4,9,8,7,6,5]]
4x5;3;7;1;[[7,0,5,10,15,16,11,7],[7,12,17,18,19,14,13,8,7],[7,6,1,2,3,4,9,7]]
